Gene,Antibody,CellLine,ImagePrefix,FolderPath,Roi_X,Roi_Y,Skip
ALMS1,HPA035276,Rh30,1807_H2_32,ALMS1/HPA035276/Rh30,281,636,F
ALMS1,HPA035276,Rh30,1807_H2_34,ALMS1/HPA035276/Rh30,1179,129,F
AMPD3,HPA038662,PC-3,1203_A4_1,AMPD3/HPA038662/PC-3,373,412,F
AMPD3,HPA038662,PC-3,1203_A4_4,AMPD3/HPA038662/PC-3,324,62,F
AMPD3,HPA047408,PC-3,896_H10_2,AMPD3/HPA047408/PC-3,244,811,F
AMPD3,HPA047408,PC-3,896_H10_3,AMPD3/HPA047408/PC-3,558,567,F
C1QL3,HPA071349,SH-SY5Y,2062_G7_2,C1QL3/HPA071349/SH-SY5Y,766,782,F
C1QL3,HPA071349,SH-SY5Y,2062_G7_4,C1QL3/HPA071349/SH-SY5Y,567,122,F
C9ORF72,HPA023873,PC-3,1034_E3_1,C9ORF72/HPA023873/PC-3,1408,754,F
C9ORF72,HPA023873,PC-3,1034_E3_3,C9ORF72/HPA023873/PC-3,292,387,F
DYNC1LI2,HPA057201,Rh30,1171_G1_1,DYNC1LI2/HPA057201/Rh30,1145,799,F
DYNC1LI2,HPA057201,Rh30,1171_G1_3,DYNC1LI2/HPA057201/Rh30,59,524,F
STYXL2,HPA012912,Rh30,1585_B4_2,STYXL2/HPA012912/Rh30,619,949,F
STYXL2,HPA012912,Rh30,1585_B4_3,STYXL2/HPA012912/Rh30,414,485,F
