Gene,Antibody,CellLine,ImagePrefix,FolderPath,Roi_X,Roi_Y,Skip
ABCE1,HPA036846,U2OS,776_F2_1,ABCE1\HPA036846\U2OS,207,941,F
ABCE1,HPA036846,U2OS,776_F2_2,ABCE1\HPA036846\U2OS,875,1155,F
AFDN,CAB013496,U2OS,637_G12_1,AFDN\CAB013496\U2OS,670,413,F
AFDN,CAB013496,U2OS,637_G12_2,AFDN\CAB013496\U2OS,966,478,F
AFDN,HPA030212,U2OS,264_H8_1,AFDN\HPA030212\U2OS,538,554,F
AFDN,HPA030212,U2OS,264_H8_2,AFDN\HPA030212\U2OS,127,1314,F
AFDN,HPA030213,U2OS,322_E9_2,AFDN\HPA030213\U2OS,576,635,F
AFDN,HPA030213,U2OS,322_E9_3,AFDN\HPA030213\U2OS,1020,550,F
AFDN,HPA030215,U2OS,505_C8_1,AFDN\HPA030215\U2OS,36,786,F
AFDN,HPA030215,U2OS,505_C8_4,AFDN\HPA030215\U2OS,35,973,F
AFDN,HPA049868,U2OS,760_C6_1,AFDN\HPA049868\U2OS,56,1296,F
AFDN,HPA049868,U2OS,760_C6_2,AFDN\HPA049868\U2OS,911,236,T
ANKFY1,HPA024522,A-549,1126_F3_1,ANKFY1\HPA024522\A-549,607,101,F
ANKFY1,HPA024522,A-549,1126_F3_2,ANKFY1\HPA024522\A-549,1084,1408,F
ANKFY1,HPA065849,A-549,1318_B9_4,ANKFY1\HPA065849\A-549,809,762,F
ANKFY1,HPA065849,A-549,1318_B9_7,ANKFY1\HPA065849\A-549,721,428,F
AP2B1,CAB017631,U2OS,945_G5_1,AP2B1\CAB017631\U2OS,1010,601,F
AP2B1,CAB017631,U2OS,945_G5_2,AP2B1\CAB017631\U2OS,94,1238,F
AP2B1,HPA056733,U2OS,920_C9_1,AP2B1\HPA056733\U2OS,407,707,F
AP2B1,HPA056733,U2OS,920_C9_2,AP2B1\HPA056733\U2OS,914,0,F
AURKB,HPA037708,U2OS,1773_G2_1,AURKB\HPA037708\U2OS,848,530,F
AURKB,HPA037708,U2OS,1773_G2_3,AURKB\HPA037708\U2OS,741,1369,F
CANX,HPA009433,A-431,48_H6_1,CANX\HPA009433\A-431,1088,866,F
