Gene,Antibody,CellLine,ImagePrefix,FolderPath,Roi_X,Roi_Y,Skip,Annotation,Example
ABCE1,HPA036846,U2OS,776_F2_1,ABCE1\HPA036846\U2OS,207,941,F,Cytosol,T
ABCE1,HPA036846,U2OS,776_F2_2,ABCE1\HPA036846\U2OS,875,1155,F,Cytosol,F
AFDN,CAB013496,U2OS,637_G12_1,AFDN\CAB013496\U2OS,670,413,F,Cell junctions,F
AFDN,CAB013496,U2OS,637_G12_2,AFDN\CAB013496\U2OS,966,478,F,Cell junctions,F
AFDN,HPA030212,U2OS,264_H8_1,AFDN\HPA030212\U2OS,538,554,F,Cell junctions,F
AFDN,HPA030212,U2OS,264_H8_2,AFDN\HPA030212\U2OS,127,1314,F,Cell junctions,F
AFDN,HPA030213,U2OS,322_E9_2,AFDN\HPA030213\U2OS,576,635,F,Cell junctions,F
AFDN,HPA030213,U2OS,322_E9_3,AFDN\HPA030213\U2OS,1020,550,F,Cell junctions,F
AFDN,HPA030215,U2OS,505_C8_1,AFDN\HPA030215\U2OS,36,786,F,Cell junctions,F
AFDN,HPA030215,U2OS,505_C8_4,AFDN\HPA030215\U2OS,35,973,F,Cell junctions,F
AFDN,HPA049868,U2OS,760_C6_1,AFDN\HPA049868\U2OS,56,1296,F,Cell junctions,T
AFDN,HPA049868,U2OS,760_C6_2,AFDN\HPA049868\U2OS,911,236,T,Cell junctions,F
ANKFY1,HPA024522,A-549,1126_F3_1,ANKFY1\HPA024522\A-549,607,101,F,Endosomes,T
ANKFY1,HPA024522,A-549,1126_F3_2,ANKFY1\HPA024522\A-549,1084,1408,F,Endosomes,F
ANKFY1,HPA065849,A-549,1318_B9_4,ANKFY1\HPA065849\A-549,809,762,F,Endosomes,F
ANKFY1,HPA065849,A-549,1318_B9_7,ANKFY1\HPA065849\A-549,721,428,F,Endosomes,F
AP2B1,CAB017631,U2OS,945_G5_1,AP2B1\CAB017631\U2OS,1010,601,F,Vesicles,F
AP2B1,CAB017631,U2OS,945_G5_2,AP2B1\CAB017631\U2OS,94,1238,F,Vesicles,T
AP2B1,HPA056733,U2OS,920_C9_1,AP2B1\HPA056733\U2OS,407,707,F,Vesicles,F
AP2B1,HPA056733,U2OS,920_C9_2,AP2B1\HPA056733\U2OS,914,0,F,Vesicles,F
AURKB,HPA037708,U2OS,1773_G2_1,AURKB\HPA037708\U2OS,848,530,F,Midbody,T
AURKB,HPA037708,U2OS,1773_G2_3,AURKB\HPA037708\U2OS,741,1369,F,Midbody,F
CANX,HPA009433,A-431,48_H6_1,CANX\HPA009433\A-431,1088,866,F,Endoplasmic reticulum,F
CANX,HPA009433,A-431,48_H6_2,CANX\HPA009433\A-431,877,96,F,Endoplasmic reticulum,F
CANX,HPA009696,A-431,48_C7_1,CANX\HPA009696\A-431,0,515,F,Endoplasmic reticulum,T
CANX,HPA009696,A-431,48_C7_2,CANX\HPA009696\A-431,710,12,F,Endoplasmic reticulum,F
CLIP1,HPA026678,SiHa,1183_F4_1,CLIP1\HPA026678\SiHa,1354,703,F,Microtubule ends,T
CLIP1,HPA026678,SiHa,1183_F4_2,CLIP1\HPA026678\SiHa,1121,138,F,Microtubule ends,F
CNN3,CAB009849,U2OS,1001_C9_1,CNN3\CAB009849\U2OS,28,1072,F,Actin filaments,T
CNN3,CAB009849,U2OS,1001_C9_2,CNN3\CAB009849\U2OS,0,951,F,Actin filaments,F
CNN3,HPA051237,U2OS,802_D11_2,CNN3\HPA051237\U2OS,826,760,F,Actin filaments,F
CNN3,HPA051237,U2OS,802_D11_5,CNN3\HPA051237\U2OS,1217,886,F,Actin filaments,F
CTTNBP2,HPA044654,HeLa,787_F8_1,CTTNBP2\HPA044654\HeLa,672,244,F,Midbody ring,T
CTTNBP2,HPA044654,HeLa,787_F8_3,CTTNBP2\HPA044654\HeLa,1402,440,F,Midbody ring,F
DES,HPA018803,Rh30,1161_A10_2,DES\HPA018803\Rh30,823,14,F,Intermediate filaments,F
DES,HPA018803,Rh30,1161_A10_3,DES\HPA018803\Rh30,556,870,F,Intermediate filaments,T
EDC3,HPA066137,U2OS,1211_G5_2,EDC3\HPA066137\U2OS,521,854,F,Cytoplasmic bodies,T
EDC3,HPA066137,U2OS,1211_G5_3,EDC3\HPA066137\U2OS,1124,744,F,Cytoplasmic bodies,F
EDEM1,HPA029565,RT-4,1386_C2_1,EDEM1\HPA029565\RT-4,841,737,F,Aggresome,T
EDEM1,HPA029565,RT-4,1386_C2_2,EDEM1\HPA029565\RT-4,163,1060,F,Aggresome,F
EZR,CAB004035,A-431,624_E8_1,EZR\CAB004035\A-431,416,449,F,Plasma membrane,F
EZR,CAB004035,A-431,624_E8_2,EZR\CAB004035\A-431,541,86,F,Plasma membrane,F
EZR,CAB047324,A-431,643_E2_2,EZR\CAB047324\A-431,1344,404,F,Plasma membrane,F
EZR,CAB047324,A-431,643_E2_4,EZR\CAB047324\A-431,211,158,F,Plasma membrane,F
EZR,HPA021616,A-431,193_D2_1,EZR\HPA021616\A-431,68,663,F,Plasma membrane,T
EZR,HPA021616,A-431,193_D2_2,EZR\HPA021616\A-431,0,579,F,Plasma membrane,F
GORASP2,HPA035274,A-431,563_E12_1,GORASP2\HPA035274\A-431,704,310,F,Golgi apparatus,F
GORASP2,HPA035274,A-431,563_E12_2,GORASP2\HPA035274\A-431,48,272,F,Golgi apparatus,F
GORASP2,HPA035275,A-431,380_D6_1,GORASP2\HPA035275\A-431,1408,380,F,Golgi apparatus,F
GORASP2,HPA035275,A-431,380_D6_2,GORASP2\HPA035275\A-431,509,481,F,Golgi apparatus,T
IMPDH1,HPA001400,A-431,973_A2_5,IMPDH1\HPA001400\A-431,116,609,F,Rods & rings,T
IMPDH1,HPA001400,A-431,973_A2_6,IMPDH1\HPA001400\A-431,341,805,F,Rods & rings,F
INCENP,HPA070550,MCF-7,1592_F10_3,INCENP\HPA070550\MCF-7,435,1322,F,Kinetochore,F
INCENP,HPA070550,MCF-7,1592_F10_5,INCENP\HPA070550\MCF-7,1288,537,F,Kinetochore,T
ITGAV,HPA004856,A-431,11_E3_1,ITGAV\HPA004856\A-431,293,573,F,Focal adhesion sites,T
ITGAV,HPA004856,A-431,11_E3_2,ITGAV\HPA004856\A-431,862,0,F,Focal adhesion sites,F
KRI1,HPA043110,MCF-7,964_D3_1,KRI1\HPA043110\MCF-7,715,689,F,Nucleoli,F
KRI1,HPA043110,MCF-7,964_D3_2,KRI1\HPA043110\MCF-7,315,1046,F,Nucleoli,F
KRI1,HPA043574,MCF-7,723_F3_1,KRI1\HPA043574\MCF-7,533,264,F,Nucleoli,F
KRI1,HPA043574,MCF-7,723_F3_2,KRI1\HPA043574\MCF-7,698,0,F,Nucleoli,T
LMNB1,HPA050524,MCF-7,723_D6_1,LMNB1\HPA050524\MCF-7,223,971,F,Nuclear membrane,F
LMNB1,HPA050524,MCF-7,723_D6_2,LMNB1\HPA050524\MCF-7,619,767,F,Nuclear membrane,T
MKI67,CAB000058,U-251MG,952_H5_3,MKI67\CAB000058\U-251MG,678,731,F,Nucleoli rim,F
MKI67,CAB000058,U-251MG,952_H5_5,MKI67\CAB000058\U-251MG,686,631,F,Nucleoli rim,F
MKI67,CAB000058,U2OS,944_H5_1,MKI67\CAB000058\U2OS,389,348,F,Nucleoli rim,F
MKI67,CAB000058,U2OS,944_H5_2,MKI67\CAB000058\U2OS,623,652,F,Nucleoli rim,F
MKI67,CAB080228,U2OS,2115_F8_3,MKI67\CAB080228\U2OS,444,627,F,Nucleoli rim,F
MKI67,CAB080228,U2OS,2115_F8_4,MKI67\CAB080228\U2OS,562,641,T,Nucleoli rim,F
MKI67,HPA000451,U-251MG,16_A8_1,MKI67\HPA000451\U-251MG,318,42,F,Nucleoli rim,F
MKI67,HPA000451,U-251MG,16_A8_2,MKI67\HPA000451\U-251MG,425,772,F,Nucleoli rim,F
MKI67,HPA000451,U2OS,1888_B10_1,MKI67\HPA000451\U2OS,939,355,F,Nucleoli rim,F
MKI67,HPA000451,U2OS,1888_B10_6,MKI67\HPA000451\U2OS,544,276,F,Nucleoli rim,F
MKI67,HPA001164,U-251MG,16_B8_1,MKI67\HPA001164\U-251MG,588,52,F,Nucleoli rim,T
MKI67,HPA001164,U-251MG,16_B8_2,MKI67\HPA001164\U-251MG,63,422,F,Nucleoli rim,F
MKI67,HPA001164,U2OS,13_B8_1,MKI67\HPA001164\U2OS,224,560,F,Nucleoli rim,F
MKI67,HPA001164,U2OS,13_B8_2,MKI67\HPA001164\U2OS,1010,237,F,Nucleoli rim,F
MKKS,HPA044233,U2OS,516_D8_1,MKKS\HPA044233\U2OS,417,463,F,Centrosome,T
MKKS,HPA044233,U2OS,516_D8_3,MKKS\HPA044233\U2OS,996,824,F,Centrosome,F
NOLC1,HPA037366,U2OS,453_F3_1,NOLC1\HPA037366\U2OS,155,751,F,Nucleoli fibrillar center,T
NOLC1,HPA037366,U2OS,453_F3_2,NOLC1\HPA037366\U2OS,147,376,F,Nucleoli fibrillar center,F
NOLC1,HPA050388,HEK293,716_C10_1,NOLC1\HPA050388\HEK293,327,368,F,Nucleoli fibrillar center,F
NOLC1,HPA050388,HEK293,716_C10_2,NOLC1\HPA050388\HEK293,611,699,F,Nucleoli fibrillar center,F
NOLC1,HPA050388,U2OS,719_C10_1,NOLC1\HPA050388\U2OS,184,289,F,Nucleoli fibrillar center,F
NOLC1,HPA050388,U2OS,719_C10_2,NOLC1\HPA050388\U2OS,550,1279,F,Nucleoli fibrillar center,F
PECR,HPA021593,A-431,190_G2_1,PECR\HPA021593\A-431,208,386,F,Peroxisomes,T
PECR,HPA021593,A-431,190_G2_2,PECR\HPA021593\A-431,503,508,F,Peroxisomes,F
PML,CAB010194,U-251MG,923_B10_1,PML\CAB010194\U-251MG,227,1260,F,Nuclear bodies,F
PML,CAB010194,U-251MG,923_B10_2,PML\CAB010194\U-251MG,611,571,F,Nuclear bodies,T
PML,CAB016304,U-251MG,952_G11_3,PML\CAB016304\U-251MG,182,684,F,Nuclear bodies,F
PML,CAB016304,U-251MG,952_G11_4,PML\CAB016304\U-251MG,557,641,F,Nuclear bodies,F
PRC1,HPA034521,SiHa,1859_G1_34,PRC1\HPA034521\SiHa,279,15,F,Cytokinetic bridge,T
PRC1,HPA034521,SiHa,1859_G1_37,PRC1\HPA034521\SiHa,902,446,F,Cytokinetic bridge,F
RAB7A,HPA006964,A-431,21_B1_1,RAB7A\HPA006964\A-431,335,662,F,Lysosomes,T
RAB7A,HPA006964,A-431,21_B1_2,RAB7A\HPA006964\A-431,377,849,F,Lysosomes,F
SON,HPA023535,A-431,216_E9_1,SON\HPA023535\A-431,1323,792,F,Nuclear speckles,F
SON,HPA023535,A-431,216_E9_2,SON\HPA023535\A-431,627,648,F,Nuclear speckles,F
SON,HPA031755,A-431,800_H5_1,SON\HPA031755\A-431,758,325,F,Nuclear speckles,F
SON,HPA031755,A-431,800_H5_2,SON\HPA031755\A-431,1107,1187,F,Nuclear speckles,T
SON,HPA031756,A-431,899_E1_1,SON\HPA031756\A-431,956,861,F,Nuclear speckles,F
SON,HPA031756,A-431,899_E1_2,SON\HPA031756\A-431,619,687,F,Nuclear speckles,F
TACC3,CAB010111,U2OS,944_H9_1,TACC3\CAB010111\U2OS,527,1241,F,Mitotic spindle,F
TACC3,CAB010111,U2OS,944_H9_2,TACC3\CAB010111\U2OS,391,711,F,Mitotic spindle,F
TACC3,HPA006050,U2OS,1772_D8_5,TACC3\HPA006050\U2OS,516,802,F,Mitotic spindle,F
TACC3,HPA006050,U2OS,1772_D8_6,TACC3\HPA006050\U2OS,15,1173,F,Mitotic spindle,T
TACC3,HPA022039,U2OS,1772_F7_1,TACC3\HPA022039\U2OS,797,967,T,Mitotic spindle,F
TACC3,HPA022039,U2OS,1772_F7_5,TACC3\HPA022039\U2OS,1395,1061,F,Mitotic spindle,F
TAF15,HPA052059,MCF-7,868_D12_1,TAF15\HPA052059\MCF-7,719,1068,F,Nucleoplasm,T
TAF15,HPA052059,MCF-7,868_D12_2,TAF15\HPA052059\MCF-7,1024,413,F,Nucleoplasm,F
TIMM44,HPA043052,A-431,473_H10_1,TIMM44\HPA043052\A-431,868,461,F,Mitochondria,F
TIMM44,HPA043052,A-431,473_H10_2,TIMM44\HPA043052\A-431,1186,886,F,Mitochondria,T
TUBA3D,HPA039247,A-431,563_B12_1,TUBA3D\HPA039247\A-431,807,677,F,Microtubules,T
TUBA3D,HPA039247,A-431,563_B12_2,TUBA3D\HPA039247\A-431,733,898,F,Microtubules,F
PLIN3,HPA006427,A-431,19_D7_1,PLIN3\HPA006427\A-431,355,12,F,Lipid droplets,T
PLIN3,HPA006427,A-431,19_D7_2,PLIN3\HPA006427\A-431,117,407,F,Lipid droplets,F
PLIN3,HPA066538,A-431,1247_G10_7,PLIN3\HPA066538\A-431,299,625,F,Lipid droplets,F
PLIN3,HPA066538,A-431,1247_G10_8,PLIN3\HPA066538\A-431,1116,602,F,Lipid droplets,F
