Note,Link,CellLine
Nucleoli fibrillar center,https://www.proteinatlas.org/ENSG00000166197-NOLC1/subcellular#img,U2OS
Actin filaments,https://www.proteinatlas.org/ENSG00000117519-CNN3/subcellular,U2OS
Aggresome,https://www.proteinatlas.org/ENSG00000134109-EDEM1/subcellular#img,RT-4
Centriolar satellites,https://www.proteinatlas.org/ENSG00000204179-PTPN20/subcellular,SiHa
Centrosome,https://www.proteinatlas.org/ENSG00000125863-MKKS/subcellular,U2OS
Cleavage furrow,https://www.proteinatlas.org/ENSG00000112984-KIF20A/subcellular,U2OS
Cytokinetic bridge,https://www.proteinatlas.org/ENSG00000198901-PRC1/subcellular,SiHa
Cytoplasmic bodies,https://www.proteinatlas.org/ENSG00000179151-EDC3/subcellular,U2OS
Cytosol,https://www.proteinatlas.org/ENSG00000164163-ABCE1/subcellular#human_cell_lines,U2OS
Focal adhesion sites,https://www.proteinatlas.org/ENSG00000138448-ITGAV/subcellular,A-431
Intermediate filaments,https://www.proteinatlas.org/ENSG00000175084-DES/subcellular,Rh30
Microtubule ends,https://www.proteinatlas.org/ENSG00000130779-CLIP1/subcellular,SiHa
Microtubules,https://www.proteinatlas.org/ENSG00000075886-TUBA3D/subcellular#human_cell_lines,A-431
Midbody,https://www.proteinatlas.org/ENSG00000178999-AURKB/subcellular#human_cell_lines,U2OS
Midbody ring,https://www.proteinatlas.org/ENSG00000077063-CTTNBP2/subcellular,HeLa
Mitochondria,https://www.proteinatlas.org/ENSG00000104980-TIMM44/subcellular,A-431
Mitotic spindle,https://www.proteinatlas.org/ENSG00000013810-TACC3/subcellular,U2OS
Rods & rings,https://www.proteinatlas.org/ENSG00000106348-IMPDH1/subcellular,A-431
Cell junctions,https://www.proteinatlas.org/ENSG00000130396-AFDN/subcellular,U2OS
Endoplasmic reticulum,https://www.proteinatlas.org/ENSG00000127022-CANX/subcellular,A-431
Endosomes,https://www.proteinatlas.org/ENSG00000185722-ANKFY1/subcellular,A-549
Golgi apparatus,https://www.proteinatlas.org/ENSG00000115806-GORASP2/subcellular,A-431
Lipid droplets,https://www.proteinatlas.org/ENSG00000105355-PLIN3/subcellular,A-431
Lysosomes,https://www.proteinatlas.org/ENSG00000075785-RAB7A/subcellular,A-431
Peroxisomes,https://www.proteinatlas.org/ENSG00000115425-PECR/subcellular,A-431
Plasma membrane,https://www.proteinatlas.org/ENSG00000092820-EZR/subcellular,A-431
Vesicles,https://www.proteinatlas.org/ENSG00000006125-AP2B1/subcellular,U2OS
Kinetochore,https://www.proteinatlas.org/ENSG00000149503-INCENP/subcellular,MCF-7
Mitotic chromosome,https://www.proteinatlas.org/ENSG00000148773-MKI67/subcellular,U2OS
Nuclear bodies,https://www.proteinatlas.org/ENSG00000140464-PML/subcellular,U-251MG
Nuclear membrane,https://www.proteinatlas.org/ENSG00000113368-LMNB1/subcellular,MCF-7
Nuclear speckles,https://www.proteinatlas.org/ENSG00000159140-SON/subcellular,A-431
Nucleoli,https://www.proteinatlas.org/ENSG00000129347-KRI1/subcellular,MCF-7
Nucleoli fibrillar center,https://www.proteinatlas.org/ENSG00000166197-NOLC1/subcellular,HEK293
Nucleoli rim,https://www.proteinatlas.org/ENSG00000148773-MKI67/subcellular,U-251MG
Nucleoplasm,https://www.proteinatlas.org/ENSG00000270647-TAF15/subcellular,MCF-7
